class,label,pixel_count,area_km2,pct_of_total,pct_of_valid
0,fallow_or_noncrop,15782088,1578.2088,9.669789141932622,18.69665073677152
1,single,48605132,4860.5132,29.780684131009902,57.58130210772345
2,double,19345344,1934.5344,11.853019534433681,22.917952310917194
3,triple_plus,14084,1.4084,0.008629359453259863,0.016684967729028638
4,long_plateau_flag,664663,66.4663,0.40724339266416215,0.7874098768588016
255,nodata,78798949,7879.8949,48.280634440506375,
